1	Bravo for parking place.
2	Rooms were very large and comfortable
3	I love the location.
4	We had the casa which offers a lot of space, has natural stone walls on the inside, a terrace with a wonderful view on the natural swimming pool and surroundings.
5	In a quiet secure location
6	The noise from lawn mower when people wants to sleep in the afternoon and shower water very slow
7	Friendly staff.
8	Very good English breakfast.
9	Nothing in particular
10	Great location and reasonable price
11	Friendly staff.
12	you can't really sleep in the extra bed.
13	The high score obtained from several positive reviews is misleading potential customers, which was my case as well.
14	Room size was a little small.
15	The door locks were difficult to use which sounds such a minor complaint, but it maybe suggests the build quality of this new hotel could be better.
16	Screechy doors;
17	It is close to metro station and supermarkert.
18	Not fancy but clean and comfortable.
19	Tea - various kinds of black tea, but they have ran out of fruit or green tea.
20	We are travelling every year throughout Europe but this was the best we have ever experienced.
21	Here goes.......Milk for our coffee was lumpy and clearly off on both nights stay.
22	Great food staff location and facilities for cycling.
23	Good breakfast; Nice that we have access for free to aquapark and sauna facilities; very good location to walk anywhere of the main beautiful places of center of Druskininkai; Very cozy and pleasant restaurant in top floor with panoramic view
24	The location, property and facilities.
25	You can walk in 5 minutes to Utrecht Central.
26	We spent the night in sleeping barrels!
27	- Great location close to the highway for one-night stop
28	Location was great
29	Leaving
30	We arrived late at night, although we wrote that down in our reservation and we tried to call a few times, their telephone was not working.
31	Planning a longer stay next year.
32	I think it's very good do I've no complaints
33	Side table drawers filthy, carpets stained.
34	Nothing from that hotel
35	The next morning I went at the same time and there was no bananas there.
36	We had a great breakfast plenty of choice the bar prices were a little high in the hotel but the bed was very large and comfortable
37	Now there is a bypass and the hotel is situated in an isolated place which once was the main A56 Chester Road but is now a dead end.
38	Lovely friendly staff.
39	Luckily we had a refurbished bathroom which was clean and functional but our co-travellers did not, and were unhappy with theirs.
40	Decor was rather uninspired.
41	Beautiful decore
42	Very clean
43	They were not that bothered either!
44	There was a shortage of large enough pots, oven dishes and trays to cook for 6.
45	Everything
46	The bathroom featured a shower bath combination, which was surrounded by an ineffective shower curtain - we had bathroom flooding after every shower.
47	Going to the roof was a highlight, I had a great view on the city.
48	nothing
49	Friendly staff, great location, good breakfast
50	Beautiful hotel with a large room and a 10 minute walk into the city centre.
51	Bathroom is too small.
52	Always up for helping us and giving us tips about the area.
53	The water leaking from room above just as I was leaving.
54	We stay here regularly and have always found the staff to be friendly and helpful.
55	Welcoming and friendly host to greet you at reception.
56	Bad smell and very dull and dark in bedroom
57	Fantastic location!
58	After you get keys - no problem to come back late from Roma by night.
59	Don,t forget, it,s St.
60	We'll be back!
61	A true home away from home.
62	We just want to explore on our own choice.
63	Clean fresh room wifi in room 3 was good on this day.
64	It is hard to do given the height, but a creative interior designer can work on that
65	Everything is so nice.
66	If you stay here, remember to try the free coffee machine in the room!
67	Bathroom very " tired" and needs modernising.
68	If I had to stay longer in that bathroom, I would even sue the hotel.
69	Will definitely be back .
70	We had to wait long periods of time for the lift because the renovators were using it!
71	The flat was very spacious and we felt very much at home, Internet connection was good.
72	The hotel is spotlessly clean.
73	The location was great as the hotel is located in the quiet and residential area of Torquay which is quite crowded.
74	Cosy hotel with warm staff and nice breakfast.
75	But it is new, build in the style of 200 years ago,.....
76	Beds are really comfortable - rooms nice and quiet
77	Bed extremely hard
78	Reservation team don't wanted to give me any good price which they have mentioned on other websites for promotion, I told them that I have found this valued price for 2 nights but I couldn't book online as my Internet is not that strong because I am driving Jaipur to Delhi and they said they are fully booked.
79	Quiet, very clean and friendly staff.
80	Not a criticism but you need a car
81	Air con in the rooms or fans to rent, a little hot sometimes.
82	Car parking in area expensive  comfy small rooms
83	Nothing, it was all very nice.
84	Easy to get round lots of things to do.
85	A bit far to the main centres of Shinjuku and Harajuku.
86	Could have done with better cooking facilities.
87	Staff dont speak English nor German
88	Pillows are a bit hard.
89	Small, dated room.
90	Stunning accommodation and the house was so well equipped for cooking...SHARP knives, beautiful cutlery and crockery that worked!
91	It was very noisy at all times - you could hear people walking through the corridors to their rooms
92	The wine, milk and cornflakes left by the host were muchly appreciated !
93	Yannis offer us the breakfast, otherwise he sent us a champagne as present.
94	The owners were not very friendly and not helpful at all.
95	Yumiko-san was a wonderful host.
96	Good location .
97	Well below my expectations for a hotel of this Calibre.
98	Thank you very much dear Giuseppina!
99	We had and an excellent stay, the room was lovely very homely, good service staff was lovely, breakfast was excellent had a veggie full English my children loved it :)
100	Air conditioning not working and very loud street to have the windows open.
101	He also provided a taxi back to airport.
102	The facilities was run down, broken bath tub, no hair shampoo provides (even ask), although have Astro but many channel not subscribe.
103	Great atmosphere and fantastic location.
104	The rooms were very dark and fitted out with cheap furniture, the location wasn't good
105	We had a great stay!
106	It's very well located near the main station and close to the center city.
107	It would be nice if the website could prompt us to confirm instead of assuming that we know.
108	the shower head
109	The owners of the hotel were extremely helpful and friendly.
110	modernised hotel in an excellent location; bathroom was particularly good.
111	The hotel is conveniently close to a train & metro station, with easy journeys to both central Amsterdam and Schiphol airport.
112	Only one set of bathroom supplies, despite two guests in room.
113	When finally got checked in to what was supposed to be a "club" room, we walked up the stairwell to our room, dirty, dingy, damp on the walls and no paint on the bannisters.
114	The breakfast was excellent.
115	There could be more personal needs in bathroom such as cotton, toothpaste and brush, comb, extra shampoo/soap, etc
116	Excellent value for money.
117	Could not fault it at all.
118	These beaches are very clean.
119	The room was slightly musty and dusty.
120	Massages were average for an expensive price
121	little bit of a walk to the beach but fine if you have a car
122	Very noisy inside and outside hotel , take earplugs !
123	The breakfast was great, nice variety.
124	Simply I can say that it is ideal for a family holidays.
125	Trash and recycling bins just outside the windows and we woke up every day at 06:00 by the the sound of the breaking glass, while the bides were being emptied.
126	There was a green flashing light I couldn't switch off located in the roof space, and the temperature of the room was too hot and no way of getting it down
127	As for the breakfast, there could be less variety and better quality.
128	We felt that the way in which the 'King Room' was advertised was disingenuous as reference to the shared bathroom wasn't clear enough.
129	The walls are paper thin, so you can hear conversations from the other rooms.
130	Fresh clean towels everyday and room service.
131	Nothing
132	the shower was cold but didnt bother us
133	In a bedroom the door was broken.
134	also we make great trip to atlas wif again a realy friendly driver from the riad.
135	Couldn't recommend highly enough.
136	Our room was huge and very comfortable!
137	So there was a lack of privacy.
138	It exudes class and quality.
139	Basic accommodation in the extreme.
140	Top Class.
141	4.
142	By the way, it was no signal or cartel of "Silver Sphere Inn" at the street.
143	And if the carpets were thoroughly washed and cleaned throughout, or better still, replaced, especially in our room, I would find nothing to fault about this hotel given its 3 star rating which is accurate.
144	They booked a different hotel for us and claimed it was the same price which in fact was $12 cheaper.
145	Dirty pool
146	Comfortable bed, Outdoor bathroom, Great breakfast, Nice environment
147	These are minor flaws.
148	Wifi was not accessible from one device
149	more variaty for the breakfast
150	They called to say the room was ready but when we got back they said they didn't have a family available so we had to gave a smaller room and change to a family the next night .
151	Whole experience was excellent.
152	The cottage was.quiet.
153	The breakfast is very expensive.
154	It would have been nice to have a cooked breakfast.
155	This is not a "Penzion", this is as good as a hotel, a 4* hotel.
156	Good location and good staff
157	There is no restaurant in the hotel.
158	It was around 10.30/11pm, but I had to be up early for work, so I called reception and they came up straight away and asked him to close the door - and I got a great nights sleep!
159	Just looks a bit run down
160	Rooms too cold
161	Nice bedroom with tea coffee making facilities, comfy bed and nice clean room.
162	The staff on arrival were great, and the staff in the restaurant were also very good.
163	Building work currently taking place is very noisy during the day.
164	Stayed one night.
165	Help to go the Toubkal, rent of crampons, nice food
166	We had some trouble with our car after checking out, and Antonio offered invaluable help in sorting things out.
167	There should be CCD .. Dominos ...
168	Onus on the traveller to notify the staff of their movements.
169	Nothing to complain
170	We arrived on Sunday.
171	Nothing...!
172	Only thing heating in our room, was hot n than cold.
173	Very friendly staff
174	The floor height is such that the last step is only a couple of inches wide and high.
175	We had a room at the inner patio of the building, which meant that we had a small window that looked out upon the inside, and you hear other hotel guests pretty well: walking around / coming home / checking out in the early morning.
176	The hotel doesn't have its own restaurant which makes it a mission to get any food, even just a snack - the hotel is situated far out of town in the mountains.
177	A must for anyone choosing Mogan for a vacation.
178	None
179	Half the flutes were closed.
180	1 light was faulty.
181	People smoking into the open area, with the stink seeping into the room.
182	Nothing.. it's impossible to find anything not to like
183	We were also offered the option of having breakfast delivered to our room – maybe next time.
184	In credit they got round to fixing it quickly and everything was up and running within a few hours.
185	Best location for Royal Concert Hall, Restaurants and Shopping
186	Location is excellent.
187	Gym really needs an update and a warning about spraying pesticides at the pool would be nice as well, I almost walked into it.
188	Great location - convenient to Port Authority and walkable to Times Sq and Rockerfeller Center.
189	The clean modern feel & comfy couches.
190	Friendly and helpful staff
191	TV didn't get a signal.
192	NATIVE BUSH SETTING
193	Me and my friend stayed here for the Fresh Island Festival, a taxi to the festival was only about 10 mins drive.
194	Excellent accommodation and food.
195	The área Is not very nice but Nothing to worry about, it Was a few mints from queen station( buses) and from the shore.
196	The only way to get out from this place is with taxi ...
197	Staff co operative
198	The Wi-fi wasn't stable enough and there was hot water only for 1 person to take a bath.
199	Location and view was excellent
200	Later my husband explained that we had tried to contact them by the room phone which she responded to with 'uhuh...
201	Very friendly and hospital people and extremely comfortable accommodation.
202	Rooms were spacious.
203	Food of the restaurant downstairs is good.
204	There was left over dirty bottles and rubbish on the bed above the wardrobe in the bedroom.
205	At the evening while we were sitting in the lounge, two girls from the street came in to self serve themselves with coffee.
206	A little difficult to find out.
207	Great location, close to Westfield Mall.
208	The breakfast was wonderful.
209	quiet
210	Location, staff, breakfast and bar facilities very nice
211	Also try cafe chill in ella!
212	The maid only cleaned the room once during the whole week.
213	It's a straight A, at the exception of the closets ( too small ) and airconditionning which was not operating at this time of the year.
214	The curtains where dirty and had holes in, the bedside light, desk lamp and bathroom mirror lights did not work, there was only one socket, two kettles one didn't work and the other only worked after about 10 mins of fiddling with it, the toilet seat was loose and the shower was lukewarm!
215	The pool is great and the lovely hostess at breakfast
216	Tv decent size
217	The room could do with an upgrade.
218	There is secure parking and a comfortable, spacious layout to the apartment.
219	bed is saggy.
220	Very small thing but would have liked better bedside lamps.
221	very basic room
222	The swimming pool was a bonus too.a
223	Going home
224	Great service.
225	Bath rooms were so tiny that only babies can take bath in that.
226	so we were tired.
227	Good security.
228	Every bed in the sleeping room had a separate light and shelf.
229	Good location.
230	B) Balancy
231	The windows had excellent soundproofing.
232	The host, Dora, was always available and ready to answer all our prompts.
233	Noisy street outside our room.
234	Basic but enough to start the day with.
235	Good bed.
236	We did not stay longer..
237	Comfortable and a friendly owner.
238	Agia Napa was a lot nicer than I was expecting.
239	It will be served in the Prime Hotel next door and is superb.
240	Room smokey.
241	However I was warm and cosy.
242	everything was perfect the location the comfort and the friendly staff rooms were so comfortable
243	Beds comfortable Friendly receptionist and bonus vchr for oysters
244	Lovely room, excellent staff, outstanding veggie breakfast.
245	The staff are so nice, and perfect location to stay in Yerevan.
246	Was clean and tidy.
247	Nice room overall, friendly and professional staff, and great location.
248	Its been maintained and a great value for money for shorter trip.Laura was exceptionally good...Thanks.
249	-the toilet didn't flush properly
250	Room was in need of an upgrade
251	Newly and finely refurbished apartment in the very city center of Wroclaw.
252	PS.
253	The food choices were varied and extremely tasty and offered a massive variety.
254	Clean and comfortable room.
255	Pool was great.
256	The ground of the resort
257	Staff were helpful.
258	The whole apartment management feel very formal, all service personnel are the same age, a group of 90 little cute, even if they are busy or back to the guests with a smile, let me look at the heart of their admiration.
259	Peaceful and quiet!
260	Food choice excellent.
261	Rose makes you very welcome and points out bus times/locations.
262	-Ingo and Christina are lovely hosts keeping the place very tidy.
263	It's sad because it's a good hotel, clean :(
264	it is a good place to bring your family.
265	Friendly staff, convenient location, excellent facilities
266	not really necessary.
267	Nothing
268	The room service was nice.
269	super friendly staff, cleaning everyday, nice breakfast, new facilities.
270	TV not working, heating not working and staff come to look at it and just said" yes, that's broke" and never did anything about it, chair on balcony collapsed when sat on it, handles off cupboards in kitchen, room smelt damp and musty
271	No heated towel rail in bathroom
272	It takes about 7-10 mins to walk from the hotel to city centre.
273	...Historical Buliding.very big size room same as Old Palace.
274	TV was crap, no reception on most of the channels.
275	Really an excellent discovery in such a small but beautiful village.
276	Well equipped, spacious and good location
277	Really could not have been better.
278	Clean.
279	Very relaxing.
280	Very warm welcome, spacious spotless room.
281	Internal layout of hotel is a little confusing as it is a series of rather narrow corriders.
282	All ground level units with a lovely garden and covered area in the middle.
283	as air conditioning in bathroom stuck and making terrible noise.
284	Better choice of food in executive lounge
285	Tthe room is wetty.
286	There are also not much homeless around the area which gives you a feeling of security when walking alone at night.
287	It’s our favourite place to get away for a night.
288	- Noisy housekeeping stuff / constant shouting and walky-talky use / late cleaning of the rooms
289	The beds were very comfy and a nice modern hostel
290	Room was too warm for me personally.
291	I have no real complaints.
292	The location was also perfect.
293	Wifi was not working so we had no wifi.
294	Very friendly staff, always willing to greet, food was a bit salty at times but maybe that's how it was supposed to be, nevertheless it was always enjoyable and plenty variety.
295	Good welcome and very friendly stay.
296	Great room
297	practically stayed in a cell overnight!
298	Such a surprise to find this fantastic hotel!
299	We liked the range of newspapers available each morning.
300	Great location, extremely well appointed.
301	Very helpfull staff - helped us to plan our day tours - arranging the driver and etc
302	Thin walls.
303	So nice with the Kids, wonderful pancakes and she is taking care of everything very well!
304	There is no restaurant at the hotel, you have to go out to eat.
305	Good air con system, bathroom very nice and excellent tv size with freeview.
306	The staff were friendly and helpful.
307	It also has its own cafe.
308	Very clean room and pleasant staff
309	However, the staff were very helpful & I expect it's been fixed by now.
310	It's just that with the really cold weather, the fact that there's no place to get a cappuccino or a decent pastry was disappointing.
311	On the other hand, ample towels were provided and we appreciated that.
312	Our very late arrival at 2am, still received a welcome and settled quickly into our room, and a good night's sleep.
313	The location in the center of Marrakech.
314	Very friendly and polite staff
315	I really love the Hostel, you can see the kremlin just outside.
316	The hotel should promote this more about how good they are !!
317	Nothing
318	Checkout time was earlier than stated in booking email.
319	The location - a short walk to nice cafes, shopping.
320	Some rooms has been recently renovated, so everything new, clean and modern!!!
321	Nothing was too much trouble!
322	The delux superior rooms are are neither delux or superior.
323	Location
324	The staff was really nice and welcoming.
325	Ever ready to service with a smile.
326	I will be sure to book one of these rooms next time.
327	Location was perfect.
328	Will miss you guys so much <3
329	It looked like I had to be serving her and not the opposite.
330	Friendly Staff, good breakfast.
331	had a problem contacting the host to get instruction after checking in.
332	Value for money was amazing too as I didn't expect the lovely continental breakfast to be included in the room price.
333	Expensive @ $265 night for spa room.
334	The restaurant is bad, breakfast is bad.
